88,9
25,23
117,2
71,2
104,14
8,18
69,9
19,16
75,15
28,23
74,2
10,10
97,18
23,29
57,15
35,28
53,30
95,6
79,13
70,14
92,24
13,24
14,30
101,25
83,10
108,9
107,12
111,14
47,23
114,9
111,28
69,3
26,14
39,25
94,26
62,16
62,19
26,8
114,8
1,14
116,24
75,26
97,20
21,27
86,24
68,3
29,16
4,19
6,20
93,20
51,5
104,7
84,4
47,29
103,30
25,8
29,30
54,26
40,30
46,28
117,2
100,11
101,13
76,28
0,25
43,23
76,8
85,10
13,29
76,15
62,3
96,23
86,27
21,27
105,17
43,10
25,16
100,14
107,4
60,12
71,4
38,26
73,16
19,19
4,20
82,22
11,21
42,20
93,6
80,5
68,4
117,28
19,17
51,14
116,8
50,19
5,21
110,20
11,30
80,6
79,4
68,8
61,16
22,26
7,22
53,26
71,2
49,16
74,8
116,8
100,16
88,7
112,28
86,10
20,10
22,9
8,13
105,5
46,10
26,23
60,5
17,30
117,4
89,15
65,10
83,21
69,25
62,25
80,30
61,3
68,11
46,21
50,28
118,2
63,12
70,13
29,13
107,29
49,10
101,4
70,2
79,25
48,15
48,30
72,9
3,11
95,15
77,9
55,8
24,14
73,4
61,10
64,7
4,17
108,17
44,14
71,9
115,14
10,12
93,6
4,11
108,9
103,7
29,25
110,2
74,12
67,9
50,27
94,4
75,14
10,23
116,6
117,10
108,9
97,30
74,10
89,9
68,4
58,12
47,27
6,24
84,3
111,8
66,9
91,16
9,27
27,25
91,11
50,6
19,25
29,18
86,4
98,8
62,19
28,21
29,16
101,10
33,30
107,2
36,15
68,3
112,9
83,2
80,6
45,18
73,28
70,7
9,13
27,19
57,27
97,7
77,28
18,18
75,24
63,25
106,28
107,5
97,8
83,5
120,4
94,24
120,13
44,27
11,18
108,20
78,27
58,28
104,7
105,22
70,6
91,14
74,15
117,7
99,9
35,20
81,16
72,4
83,14
77,8
38,20
94,20
93,30
49,26
13,30
73,4
50,15
24,8
88,20
15,16
119,4
85,29
81,11
36,21
97,4
86,3
40,16
116,28
75,26
13,14
80,14
92,25
96,6
117,2
87,8
85,25
3,21
64,20
102,7
115,16
61,7
89,24
90,6
80,21
67,9
76,14
0,15
84,27
55,8
75,16
18,19
108,21
110,6
13,16
62,16
68,10
92,21
96,6
70,6
22,24
84,22
19,27
13,16
91,17
109,4
